Feature,Importance
Grid_Position_Pct,0.18868722
Grid_Position,0.18777764
Grid_X_Overtake,0.065794855
Speed_Delta_From_Avg_Pct,0.05845179
Risk_Factor_Pct,0.058000993
Total_Tire_Degradation,0.05548274
Tire_X_Fuel,0.053687494
P95_Speed,0.0400101
Driver_Consistency,0.03528479
Pace_Delta_From_Avg,0.027260313
Projected_Stability,0.026968343
Avg_Tyre_Age,0.02672525
Starting_Tyre_Age,0.02329342
Speed_X_Grip,0.023061782
Avg_Fuel_kg,0.020049902
Starting_Fuel_kg,0.019691758
Max_Speed,0.017619148
Avg_Pace_Correction,0.017097933
Max_True_Pace,0.016685199
Avg_True_Pace,0.014689751
Tyre_Grip,0.013617831
Avg_Fuel_Adjusted_Pace,0.01006164
Overtake_Factor,0.0
Fuel_Confidence,0.0
Air_Temp_Celsius,0.0
Grid_Importance,0.0
